Run,Mission,mAP50,Time_Spent_s
1,0,0.43101277643727026,0.0
1,1,0.3844648280542448,1798.0
1,2,0.4311643333092472,1798.5
1,3,0.4177779374077732,1799.0
1,4,0.43030642991614204,1797.5
1,5,0.43965802525879866,1796.0
1,6,0.4337799652223855,1797.0
1,7,0.4443597066569796,1796.5
1,8,0.44355513454748996,1799.5
1,9,0.4443814345352117,1799.0
1,10,0.44044534802001856,1796.0
2,0,0.43101277643727026,0.0
2,1,0.4023157954914385,1799.5
2,2,0.4470564396068768,1796.5
2,3,0.425416739968814,1799.0
2,4,0.4369537236166101,1796.0
2,5,0.44075706582476665,1799.5
2,6,0.4270977057293699,1799.0
2,7,0.4298379219713288,1798.5
2,8,0.43160378767818613,1800.0
2,9,0.43005391789732156,1799.0
2,10,0.44214182619785897,1799.5
3,0,0.43101277643727026,0.0
3,1,0.41444310019582026,1798.0
3,2,0.4028740425154371,1795.5
3,3,0.421200941239476,1796.0
3,4,0.42218768212069063,1798.5
3,5,0.3989650187614997,1799.0
3,6,0.41352561243848424,1798.0
3,7,0.4279220648452478,1795.5
3,8,0.42265087795600526,1797.5
3,9,0.42460245593699425,1797.0
3,10,0.425051234809987,1795.5
