Run,Mission,mAP50,Time_Spent_s
1,0,0.43101277643727026,0.0
1,1,0.39730899444404183,1796.0
1,2,0.4207643364735982,1796.5
1,3,0.428817170227896,1799.0
1,4,0.4430104927286498,1799.0
1,5,0.42342149438663595,1798.0
1,6,0.4228013904802663,1797.0
1,7,0.42686334395676706,1799.0
1,8,0.4212634804472695,1797.5
1,9,0.41682444253111267,1798.5
1,10,0.41128606387104233,1799.0
2,0,0.43101277643727026,0.0
2,1,0.3997059835046517,1796.0
2,2,0.40557575355323,1798.0
2,3,0.4355128953840854,1799.5
2,4,0.43325255667045387,1796.5
2,5,0.42841389021273796,1795.5
2,6,0.43149140234192934,1797.5
2,7,0.4184416092597036,1798.0
2,8,0.42459913979157476,1798.5
2,9,0.4122514020206796,1798.5
2,10,0.4193433004809923,1799.0
3,0,0.43101277643727026,0.0
3,1,0.4169349727877371,1796.5
3,2,0.42766636821960696,1798.0
3,3,0.40415099533878157,1799.0
3,4,0.429872295996176,1797.0
3,5,0.42264751140629625,1799.0
3,6,0.4215741620738531,1798.0
3,7,0.4427937202237328,1799.0
3,8,0.43145954459071323,1800.0
3,9,0.43942571990173973,1800.0
3,10,0.40701788711212394,1799.0
