Run,Mission,mAP50,Time_Spent_s
1,0,0.43101277643727026,0.0
1,1,0.3973558377211681,1797.5
1,2,0.4173945348443078,1798.0
1,3,0.430176653247263,1797.5
1,4,0.43325854430466276,1795.5
1,5,0.4355292619236671,1799.5
1,6,0.4408640591535873,1799.0
1,7,0.42395612553807904,1798.5
1,8,0.43629176900559713,1796.5
1,9,0.42714072806551195,1798.5
1,10,0.41078553109645227,1798.0
2,0,0.43101277643727026,0.0
2,1,0.393485076506569,1797.5
2,2,0.4258903884357966,1798.0
2,3,0.42418719704655544,1800.0
2,4,0.42464680243461195,1798.0
2,5,0.43408100918830234,1796.5
2,6,0.43170343306631614,1797.0
2,7,0.4410422068493003,1795.0
2,8,0.4126446055522987,1800.0
2,9,0.4281434665354687,1798.0
2,10,0.43503330234743615,1797.0
3,0,0.43101277643727026,0.0
3,1,0.3862644047711749,1799.5
3,2,0.41945150830133554,1798.0
3,3,0.41928933089210124,1800.0
3,4,0.4457109952161172,1797.5
3,5,0.4321435211660523,1799.0
3,6,0.42752195771405105,1796.5
3,7,0.4355126878701229,1799.0
3,8,0.4244242905052065,1797.5
3,9,0.42967351265377646,1800.0
3,10,0.4169725399470872,1799.5
