epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,351.16,1.6863,2.78636,1.17371,0.35457,0.34832,0.15993,0.10362,1.38053,1.93868,1.06158,0.00997573,0.00332524,0.00997573,0.00332524,0.00997573,0.00332524,0.00997573,0.00332524
2,701.556,1.50293,1.92107,1.03652,0.34809,0.30686,0.16703,0.10409,1.41291,1.82268,1.08325,0.0198768,0.00662562,0.0198768,0.00662562,0.0198768,0.00662562,0.0198768,0.00662562
3,1045.37,1.56467,1.98282,1.09345,0.32265,0.24488,0.14617,0.0868,1.53384,2.05697,1.13151,0.029679,0.00989299,0.029679,0.00989299,0.029679,0.00989299,0.029679,0.00989299
4,1381.79,1.6103,1.98238,1.10431,0.33418,0.27744,0.16671,0.10064,1.55496,1.92581,1.1807,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1714.81,1.52469,1.80449,1.0826,0.26772,0.33843,0.19541,0.12056,1.43333,1.73038,1.13011,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,2052.16,1.49863,1.69364,1.06117,0.31791,0.32203,0.22416,0.14089,1.39103,1.64987,1.09441,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,2391.61,1.43738,1.63516,1.06041,0.33194,0.35873,0.23814,0.14613,1.37399,1.6254,1.09229,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,2733.04,1.44675,1.60746,1.05808,0.32602,0.3243,0.22812,0.14161,1.3937,1.65253,1.10078,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,3070,1.40241,1.53552,1.04163,0.34202,0.33223,0.24391,0.15526,1.35091,1.57027,1.09061,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,3410.69,1.41529,1.52586,1.03685,0.37304,0.35556,0.25903,0.16689,1.32883,1.53197,1.07441,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,3745.8,1.33229,1.44681,1.01548,0.32684,0.3572,0.26415,0.1729,1.33366,1.53109,1.06718,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,4087.51,1.35559,1.41265,1.01484,0.38222,0.35414,0.27506,0.17843,1.33647,1.54822,1.0773,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,4430.43,1.32861,1.4213,1.02793,0.3591,0.38052,0.28987,0.19216,1.30438,1.48805,1.06125,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,4778.48,1.34639,1.42505,1.0264,0.32698,0.37897,0.29142,0.19242,1.31537,1.47704,1.07118,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,5119.19,1.28913,1.3763,1.02129,0.30196,0.3809,0.28414,0.18604,1.30464,1.46567,1.06588,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,5458.57,1.29339,1.34749,1.00527,0.37628,0.33978,0.27725,0.1796,1.33392,1.50256,1.07196,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,5793.43,1.33281,1.32312,1.00147,0.39494,0.38921,0.30536,0.20177,1.30516,1.48028,1.06728,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,6132.96,1.28616,1.35324,1.01388,0.37016,0.36022,0.28333,0.18549,1.32181,1.50773,1.06777,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,6467.53,1.29604,1.32173,1.00552,0.35468,0.38481,0.31256,0.21,1.28665,1.41783,1.05491,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,6808.73,1.24777,1.27915,1.01114,0.37266,0.39321,0.32773,0.21878,1.29191,1.40227,1.05838,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,7151.24,1.27944,1.238,0.99532,0.36292,0.40284,0.33373,0.22638,1.26723,1.36216,1.04514,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,7492.36,1.21047,1.22515,0.98864,0.40959,0.38937,0.31649,0.21304,1.28068,1.43517,1.05403,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,7828.41,1.28298,1.24177,0.97982,0.34806,0.38125,0.31305,0.20962,1.28564,1.42125,1.05768,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,8161.28,1.2603,1.24203,0.98163,0.39414,0.38741,0.32819,0.22159,1.27352,1.37364,1.05268,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,8498.18,1.21475,1.18701,0.97823,0.40698,0.39347,0.34248,0.23676,1.26757,1.3829,1.042,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,8832.05,1.20986,1.17876,0.97905,0.36653,0.41061,0.33026,0.2251,1.2641,1.38333,1.03868,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,9160.11,1.19193,1.17024,0.97889,0.38142,0.37833,0.32861,0.22522,1.25978,1.38195,1.03983,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,9487.49,1.25154,1.16819,0.97767,0.39156,0.39338,0.33998,0.23275,1.25848,1.36693,1.04703,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,9810.87,1.20436,1.16669,0.99002,0.35127,0.40354,0.33844,0.23346,1.24939,1.37734,1.0459,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,10136.2,1.20286,1.16122,0.99533,0.40523,0.40108,0.33968,0.23245,1.25709,1.37468,1.04207,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,10467.6,1.21213,1.12765,0.97235,0.39255,0.38978,0.33659,0.23053,1.25347,1.36922,1.04314,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
