epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1453.63,1.64227,2.9416,1.34687,0.30314,0.21023,0.12034,0.07197,1.58867,2.27617,1.43982,0.00999393,0.00333131,0.00999393,0.00333131,0.00999393,0.00333131,0.00999393,0.00333131
2,2889.76,1.57067,2.05863,1.31371,0.3194,0.21118,0.12342,0.07143,1.63799,2.24437,1.50131,0.019895,0.00663165,0.019895,0.00663165,0.019895,0.00663165,0.019895,0.00663165
3,4070.47,1.61087,2.1163,1.35594,0.23165,0.19517,0.1157,0.06695,1.68244,2.34434,1.60413,0.029697,0.009899,0.029697,0.009899,0.029697,0.009899,0.029697,0.009899
4,5176.63,1.62288,2.10005,1.39312,0.37156,0.22311,0.13944,0.08131,1.58357,2.11325,1.5596,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,6286.29,1.54978,1.93556,1.35321,0.29277,0.22767,0.15464,0.09368,1.53474,2.00022,1.50683,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,7350.46,1.50659,1.85116,1.32681,0.30557,0.27331,0.18366,0.11125,1.50249,1.87714,1.48724,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,8464.18,1.47795,1.78411,1.31031,0.34126,0.27801,0.18519,0.11599,1.47117,1.82718,1.46763,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,9622.2,1.45936,1.73923,1.2953,0.36139,0.29368,0.20314,0.12742,1.44508,1.77762,1.44745,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,10811.2,1.43423,1.70412,1.28614,0.34343,0.30366,0.2097,0.13267,1.43015,1.74063,1.43747,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,11948.1,1.42434,1.67151,1.27069,0.34408,0.3242,0.21769,0.13926,1.41574,1.71763,1.42833,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,13116.6,1.42222,1.645,1.26709,0.34387,0.30646,0.22924,0.14678,1.40139,1.69126,1.40816,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,14235.1,1.40514,1.63044,1.26025,0.34588,0.31859,0.23329,0.14971,1.39374,1.66868,1.40273,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,15362.1,1.40133,1.63229,1.2594,0.38046,0.32469,0.24278,0.15761,1.38501,1.65717,1.39855,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,16570.3,1.38484,1.59765,1.24977,0.38693,0.33099,0.24795,0.16152,1.37865,1.63481,1.39295,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,17671.5,1.38387,1.58205,1.24403,0.38437,0.3375,0.25382,0.16639,1.3725,1.61952,1.38721,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,18760.7,1.37269,1.57468,1.24289,0.36232,0.33995,0.2557,0.16765,1.36772,1.61554,1.38394,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,19855.4,1.37528,1.5727,1.2454,0.3686,0.32986,0.25769,0.16957,1.36594,1.60848,1.38333,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,20953.7,1.36966,1.54213,1.23199,0.3413,0.33535,0.26153,0.1724,1.36301,1.60384,1.37965,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,22184.2,1.37767,1.55392,1.23764,0.34177,0.33765,0.26408,0.17463,1.36114,1.59983,1.37803,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,23325.3,1.3595,1.53395,1.23133,0.3523,0.33727,0.26581,0.17588,1.36059,1.59619,1.37679,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,24555.3,1.35918,1.51406,1.22401,0.37665,0.34265,0.26811,0.17731,1.35931,1.59101,1.37581,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,25739.2,1.35468,1.51892,1.22904,0.37718,0.34251,0.26957,0.17849,1.35872,1.58792,1.37523,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,26971.3,1.35869,1.52018,1.22789,0.38108,0.34445,0.26993,0.17896,1.3576,1.58603,1.37426,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,28282,1.35341,1.50633,1.22338,0.38702,0.34432,0.2712,0.17983,1.35627,1.58283,1.3732,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,29453.9,1.34339,1.49554,1.21861,0.36452,0.34184,0.27178,0.1802,1.3542,1.57935,1.37137,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,30729.6,1.34171,1.4925,1.21587,0.3647,0.34471,0.2729,0.18104,1.35349,1.57695,1.37038,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,31887.9,1.33759,1.46747,1.20944,0.36807,0.34583,0.27401,0.18188,1.35224,1.57429,1.36906,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,32972.6,1.34341,1.48174,1.21597,0.36753,0.34688,0.27496,0.18263,1.35114,1.57179,1.36771,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,34049.6,1.33301,1.47941,1.2112,0.37461,0.34799,0.27605,0.18348,1.35067,1.57049,1.36675,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,35149,1.32691,1.4698,1.21144,0.36444,0.35217,0.27697,0.1842,1.34966,1.56859,1.36565,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,36266,1.32809,1.44866,1.20503,0.36721,0.35181,0.27807,0.18519,1.34894,1.56689,1.36508,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,37392,1.32717,1.46235,1.20674,0.37372,0.35094,0.27889,0.18573,1.34852,1.56535,1.36425,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,38450.7,1.33219,1.45834,1.20652,0.37006,0.35233,0.27997,0.18673,1.34792,1.56301,1.36321,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
