epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2545.6,1.56276,2.66413,1.34372,0.36752,0.26042,0.14625,0.09011,1.49575,2.04276,1.49492,0.00999393,0.00333131,0.00999393,0.00333131,0.00999393,0.00333131,0.00999393,0.00333131
2,5072.36,1.51578,1.93114,1.3023,0.38652,0.23331,0.13967,0.08115,1.55679,2.1138,1.55242,0.019895,0.00663165,0.019895,0.00663165,0.019895,0.00663165,0.019895,0.00663165
3,7584.96,1.59812,2.04494,1.35838,0.39471,0.21651,0.12524,0.06811,1.6629,2.17869,1.66582,0.029697,0.009899,0.029697,0.009899,0.029697,0.009899,0.029697,0.009899
4,10098.6,1.61012,2.04598,1.38812,0.41465,0.25546,0.1475,0.0871,1.54328,2.04579,1.56144,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,12615.3,1.54278,1.8561,1.34808,0.28745,0.27127,0.15813,0.09438,1.55534,1.98532,1.58921,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,15096.5,1.48196,1.76168,1.31564,0.37581,0.27276,0.16809,0.10199,1.48297,1.88598,1.51749,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,17570.9,1.46512,1.7008,1.29703,0.2681,0.3145,0.19761,0.12109,1.46511,1.74605,1.49344,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,20073.4,1.43144,1.637,1.26704,0.31996,0.30617,0.19511,0.12091,1.4346,1.77139,1.47215,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,22534.1,1.41157,1.60045,1.2721,0.27534,0.3322,0.20269,0.12494,1.42427,1.70942,1.46103,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,24947.9,1.4085,1.57518,1.2627,0.29202,0.32024,0.22214,0.14047,1.38995,1.66701,1.43618,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
